Id,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38,Column_39,Column_40,Column_41,Column_42,Column_43,Column_44,Column_45,Column_46,Column_47,Column_48,Column_49,Column_50,Column_51,Column_52,Column_53,Column_54,Column_55,Column_56,Column_57,Column_58,Column_59,Column_60,Column_61,Column_62,Column_63,Column_64,Column_65,Column_66,Column_67,Column_68,Column_69,Column_70,Column_71,Column_72,Column_73,Column_74,Column_75,Column_76,Column_77,Category
1,77041.5,44471.03389,88955.41342,1602.4632,1787.3628,1571.6466,1294.2972,1664.0964,1756.5462,1016.9478,801.2316,1510.0134,1355.9304,1047.7644,1848.996,1109.3976,1140.2142,1694.913,1386.747,1078.581,986.1312,523.8822,739.5984,1479.1968,1417.5636,1171.0308,616.332,955.3146,893.6814,585.5154,770.415,554.6988,708.7818,1201.8474,924.498,832.0482,1232.664,862.8648,369.7992,677.9652,431.4324,400.6158,308.166,277.3494,215.7162,338.9826,184.8996,246.5328,154.083,123.2664,92.4498,30.8166,61.6332,1834,32,308166,10000,63635.31373,1.527772345,0.07360781,1.511108479,63642.86256,1.527651633,0.073506977,1.511320195,11,23,15,22,2,2021,11,23,15,22,2,2021,0
2,77120,44516.34682,89046.05288,1573.248,2128.512,987.136,956.288,1511.552,1388.16,1881.728,1789.184,1604.096,1172.224,1295.616,1696.64,832.896,1419.008,1326.464,1449.856,678.656,1357.312,1017.984,493.568,1203.072,616.96,1141.376,894.592,1110.528,1079.68,555.264,647.808,925.44,771.2,1233.92,586.112,802.048,740.352,863.744,1048.832,709.504,401.024,524.416,431.872,308.48,185.088,277.632,215.936,339.328,154.24,123.392,92.544,30.848,61.696,2167,32,308480,10000,63656.80693,1.527629642,0.073700673,1.511097182,63649.22304,1.527372882,0.073793791,1.511168756,11,23,15,22,2,2021,11,23,15,22,2,2021,0
3,77120,44516.34682,89046.05288,1789.184,1511.552,1665.792,1326.464,1357.312,1634.944,1388.16,1573.248,678.656,277.632,1604.096,1172.224,1758.336,956.288,802.048,1233.92,1079.68,308.48,1419.008,832.896,987.136,740.352,1912.576,1141.376,925.44,709.504,431.872,1264.768,771.2,1542.4,894.592,555.264,1017.984,863.744,586.112,616.96,1048.832,493.568,524.416,370.176,462.72,647.808,185.088,215.936,154.24,246.784,123.392,92.544,30.848,61.696,2568,32,308480,10000,63648.70842,1.527451161,0.073684343,1.511246969,63658.20567,1.527630591,0.073571477,1.511255864,11,23,15,22,2,2021,11,23,15,22,2,2021,0
4,77117.5,44514.90373,89043.16628,1511.503,1789.126,1233.88,1881.667,1418.962,2159.29,1388.115,1110.492,1141.339,987.104,709.481,1573.197,1480.656,1264.727,431.858,1326.421,740.328,401.011,1172.186,1203.033,1079.645,894.563,1295.574,802.022,678.634,925.41,339.317,616.94,1048.798,863.716,832.869,586.093,308.47,1017.951,771.175,647.787,524.399,462.705,493.552,555.246,215.929,277.623,185.082,370.164,154.235,246.776,123.388,92.541,30.847,61.694,2405,32,308470,10000,63646.45414,1.527543984,0.073631358,1.511244857,63655.5362,1.527550159,0.073429805,1.511489424,11,23,16,22,2,2021,11,23,16,22,2,2021,0
5,77120,44516.34682,89046.05288,1974.272,1696.64,832.896,1820.032,1758.336,1727.488,1295.616,1388.16,1789.184,1326.464,1634.944,2190.208,1079.68,678.656,1480.704,1912.576,246.784,1850.88,2035.968,2344.448,1542.4,493.568,1233.92,1203.072,1017.984,1665.792,185.088,1172.224,215.936,987.136,616.96,1141.376,462.72,894.592,524.416,740.352,802.048,771.2,277.632,1048.832,925.44,709.504,586.112,647.808,308.48,123.392,339.328,92.544,30.848,61.696,3149,32,308480,10000,63653.44768,1.527328591,0.073625931,1.511408787,63637.01387,1.527490377,0.073542723,1.511393432,11,23,16,22,2,2021,11,23,16,22,2,2021,0
6,77122.25,44517.6456,89048.65083,586.1291,1264.8049,1696.6895,1573.2939,493.5824,1233.956,987.1648,154.2445,1449.8983,709.5247,1018.0137,2560.4587,1542.445,1511.5961,1604.1428,1634.9917,2097.7252,246.7912,1079.7115,1850.934,1419.0494,2159.423,1820.0851,1295.6538,863.7692,1048.8626,1172.2582,524.4313,277.6401,832.9203,1203.1071,740.3736,1480.7472,308.489,2036.0274,215.9423,462.7335,1110.5604,925.467,771.2225,616.978,678.6758,185.0934,894.6181,647.8269,123.3956,339.3379,92.5467,30.8489,61.6978,3237,32,308489,10000,63648.41105,1.527450958,0.073621022,1.511325386,63649.5212,1.527373086,0.073857127,1.51109034,11,23,17,22,2,2021,11,23,17,22,2,2021,0
7,77120,44516.34682,89046.05288,4719.744,4226.176,2221.056,1017.984,2868.864,2035.968,586.112,7280.128,7526.912,4966.528,678.656,82765.184,3208.192,3701.76,4503.808,2344.448,14837.888,15855.872,2251.904,15177.216,1419.008,2714.624,956.288,863.744,1264.768,2313.6,2436.992,13912.448,3084.8,2005.12,1573.248,55588.096,45254.016,154.24,1295.616,15146.368,4781.44,5305.856,555.264,30323.584,14652.8,647.808,339.328,123.392,246.784,112595.2,97942.4,92.544,30.848,61.696,3364,32,308480,10000,63643.22577,1.527368788,0.073584434,1.511430718,63659.47199,1.527065408,0.073840875,1.511335732,11,23,17,22,2,2021,11,23,17,22,2,2021,0
8,77122.25,44517.6456,89048.65083,1419.0494,1696.6895,1233.956,1141.4093,1573.2939,863.7692,1048.8626,1110.5604,987.1648,1480.7472,370.1868,894.6181,771.2225,1203.1071,1326.5027,1079.7115,1172.2582,1357.3516,1388.2005,1295.6538,1665.8406,1264.8049,832.9203,709.5247,925.467,956.3159,1018.0137,740.3736,802.0714,555.2802,431.8846,493.5824,1449.8983,586.1291,678.6758,524.4313,401.0357,616.978,647.8269,462.7335,308.489,277.6401,339.3379,215.9423,185.0934,154.2445,246.7912,123.3956,92.5467,61.6978,1532,32,308489,10000,63654.17996,1.527171844,0.073781734,1.511330782,63643.17816,1.527321573,0.073574286,1.511477894,11,23,18,22,2,2021,11,23,18,22,2,2021,0
9,77122.25,44517.6456,89048.65083,1573.2939,1727.5384,1264.8049,925.467,1388.2005,1634.9917,1449.8983,1511.5961,1542.445,1079.7115,1357.3516,1295.6538,1480.7472,647.8269,1018.0137,1326.5027,401.0357,1141.4093,524.4313,894.6181,863.7692,1048.8626,1172.2582,1110.5604,462.7335,1203.1071,1233.956,771.2225,493.5824,832.9203,802.0714,678.6758,586.1291,709.5247,555.2802,987.1648,740.3736,431.8846,956.3159,616.978,308.489,277.6401,339.3379,215.9423,185.0934,154.2445,246.7912,123.3956,92.5467,61.6978,1733,32,308489,10000,63670.14004,1.527387157,0.073121842,1.511990777,63655.94245,1.527377469,0.073087503,1.512040593,11,23,18,22,2,2021,11,23,18,22,2,2021,0
10,77117.5,44514.90373,89043.16628,2066.749,2190.137,1110.492,1203.033,832.869,2467.76,1233.88,1634.891,1357.268,1727.432,1789.126,1850.82,740.328,2560.301,1943.361,493.552,1295.574,987.104,1665.738,2220.984,1480.656,1141.339,308.47,1388.115,2436.913,2406.066,462.705,1079.645,1912.514,802.022,771.175,1881.667,709.481,1573.197,2375.219,401.011,1048.798,1758.279,1449.809,1819.973,1264.727,956.257,925.41,431.858,123.388,277.623,370.164,92.541,30.847,61.694,3796,32,308470,10000,63668.04068,1.527338561,0.073101683,1.512051771,63669.62476,1.527339642,0.073011276,1.512163366,11,23,18,22,2,2021,11,23,18,22,2,2021,0
